id,Late_2,Late_1,Late_3,days_late_Sum,normal_payment,p_code,p_limit,last_update,curr_remaining,max_bal,recent_payment_activity
1485873180,0,0,0,0,1,10,16500,04/12/2016,0,,
1488748059,0,0,0,0,1,5,,04/12/2016,588720,491100,
1489508238,0,0,0,0,2,5,,04/12/2016,840000,700500,22/04/2016
2320606,0,0,0,0,3,10,37400,03/12/2016,8425.2,7520,25/04/2016
2007111,0,0,0,0,2,10,,03/12/2016,15147.6,,26/04/2016
1492338226,0,0,0,0,3,10,88000,02/12/2016,3196.8,6193,15/04/2016
1488480197,0,0,0,0,2,10,16500,02/12/2016,3252,3210,
2004514,0,0,0,0,2,1,,02/12/2016,365331.6,304943,
1486105426,0,0,0,0,4,0,,02/12/2016,16795.2,28500,19/04/2016
1488016818,0,0,0,0,3,6,,02/12/2016,26688,31300,20/03/2016
1489267459,0,0,0,0,4,10,,02/12/2016,7957.2,9411,20/04/2016
3483320,0,0,0,0,4,6,,02/12/2016,60572.4,65401,19/04/2016
1487328242,0,0,0,0,1,5,,02/12/2016,118800,99500,
1488199350,0,0,0,0,3,10,16500,01/12/2016,3487.2,3406,15/02/2016
1492154581,0,0,0,0,4,10,,01/12/2016,39613.2,,30/04/2016
3317112,0,0,0,0,1,0,,04/11/2016,2617.2,2681,
1489508238,0,0,0,0,1,5,,04/11/2016,365629.2,310500,05/01/2016
1905457,0,0,0,0,1,10,,04/11/2016,0,,
3390570,0,0,0,0,1,0,,04/11/2016,28156.8,35700,
1492728889,0,0,0,0,2,13,,04/11/2016,44400,37500,
3317112,0,0,0,0,1,0,,04/11/2016,48000,40500,
1488686844,0,0,0,0,1,10,51700,03/11/2016,1352.4,,
1491196659,0,0,0,0,2,10,108900,02/11/2016,6094.8,101068,22/03/2016
1487706662,0,0,0,0,1,10,27500,01/11/2016,0,,
2047179,0,0,0,0,5,5,,01/11/2016,204909.6,180500,22/04/2016
1487266656,0,0,0,0,2,0,,01/11/2016,17556,21400,
1490969236,0,0,0,0,2,0,,01/11/2016,24000,30500,
1492273672,0,0,0,0,1,10,129800,05/10/2016,17748,15290,
1492013972,0,0,0,0,1,5,,04/10/2016,355164,295500,
1485873180,0,0,0,0,1,0,,04/10/2016,42000,35500,
1489349821,0,0,0,0,2,1,,04/10/2016,137853.6,115378,
1488597062,0,0,0,0,2,10,105600,03/10/2016,1.2,3766,04/12/2016
3613912,0,0,0,0,2,6,,03/10/2016,25182,21485,
1485631659,0,0,0,0,1,5,,02/10/2016,60000,50500,
1485826434,0,0,0,0,3,7,,02/10/2016,540000,460500,19/03/2016
1492496272,0,0,0,0,5,10,,01/10/2016,2496,19187,16/05/2016
3540454,0,0,0,0,1,6,,05/09/2016,21600,27500,
2113959,0,0,0,0,1,10,116600,04/09/2016,32210.4,27341,
1486129170,0,0,0,0,2,5,,04/09/2016,180000,150500,
1489017405,0,0,0,0,2,0,,04/09/2016,14616,17900,
1489017405,0,0,0,0,2,0,,04/09/2016,1798.8,1999,
2152172,0,0,0,0,1,10,,04/09/2016,25921.2,22101,
1488334023,0,0,0,0,1,10,57200,03/09/2016,15753.6,13627,
1488317328,0,0,0,0,1,24,,03/09/2016,360000,300500,
1488328087,0,0,0,0,2,0,,03/09/2016,21831.6,26490,
3711485,0,0,0,0,3,10,104500,02/09/2016,92110.8,77258,05/04/2016
805442,0,0,0,0,2,10,100100,02/09/2016,70514.4,59262,
1490982963,0,0,0,0,1,10,63800,02/09/2016,2050.8,2208,
1488638614,0,0,0,0,3,10,58300,02/09/2016,13995.6,53414,20/04/2016
3711485,0,0,0,0,3,10,,02/09/2016,0,15046,03/11/2016
1492613879,0,0,0,0,4,10,,02/09/2016,14786.4,22327,05/08/2016
1484012615,0,0,0,0,2,10,110000,01/09/2016,26428.8,27303,
