label,id,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Eta,Theta,Iota,Kappa,Lambda,omikron
0,1484006679,523,,2,500000,2,5,-1,70,5,350020,1,0.02857142857
0,1489825072,2092,1250,3,137000,2,8,5,90,5,72000,1,0.03333333333
0,1489815797,2092,1244,3,107000,2,8,5,112,5,60017,3.16227766,0.02678571429
0,1489759034,2092,1364,3,194000,2,8,5,110,5,151004,223.6067977,0.02727272727
0,1486529479,3661,1289,3,305000,1,11,5,110,5,60033,236.6431913,0.02727272727
1,1487734487,3661,1382,3,115000,2,11,5,100,5,60058,1,0.03
0,2959839,2092,1314.5,1,177000,2,8,-1,112,5,60000,200,0.008928571429
0,1344505,3661,1346,1,112000,2,11,5,85,5,60064,200,0.01176470588
0,1492583828,2092,1287.5,1,110000,2,8,5,89,5,72049,190.9345438,0.01123595506
0,2233421,3661,1295,1,116000,2,11,9,108,4,151300,1,0.009259259259
1,1380863,3661,1245.5,3,81000,2,11,5,103,5,60014,1,0.02912621359
0,1489556097,2092,,2,65000,2,8,5,112,4,60015,191.8801709,0.01785714286
0,1488153346,3661,1230.5,3,114000,2,11,5,112,4,72000,254.9509757,0.02678571429
0,1754831,3661,1245.5,3,110000,2,11,5,100,4,71000,1,0.03
0,1487513371,3661,,2,75000,2,11,9,111,4,151009,173.2050808,0.01801801802
1,2288700,3661,1214,3,58000,2,11,5,110,4,151300,158.113883,0.02727272727
0,1491238211,2092,1223,3,77000,2,8,9,111,5,72000,1,0.02702702703
0,1486478281,3661,1335.5,3,126000,2,11,5,83,5,60051,1,0.03614457831
0,1491407016,2092,1224.5,3,59000,2,8,5,80,3,60044,200,0.0375
0,1487368310,3661,,2,117000,2,11,-1,87,3,332720,1,0.02298850575
0,1490731425,2092,1257.5,3,88000,2,8,5,101,3,60018,200,0.0297029703
1,2200031,3661,,2,70000,2,11,9,110,4,151304,187.0828693,0.01818181818
0,1414253,3661,1308.5,1,110000,2,11,5,108,4,60004,1,0.009259259259
0,2540609,2092,,2,98000,1,8,5,109,4,72050,181.1435895,0.01834862385
0,1491045291,2092,1272.5,3,170000,2,8,5,110,4,60019,1,0.02727272727
0,1488099180,3661,1419.5,1,89000,2,11,5,110,3,350060,337.106808,0.009090909091
0,1486412243,3661,1328,3,163000,2,11,9,79,5,60062,1,0.03797468354
0,3711485,2092,1257.5,3,81000,2,8,8,107,4,72001,1,0.02803738318
0,1485069594,2615,1265,3,135000,2,15,5,100,5,151300,231.721816,0.03
1,1484853301,2615,,2,44000,2,15,5,111,5,151300,169.6113204,0.01801801802
1,1484231876,2615,1322,3,30000,2,15,5,91,5,60047,164.3167673,0.03296703297
1,1487183552,3661,1262,3,151000,2,11,5,114,4,510102,251.968252,0.02631578947
0,1484944938,2615,1191.5,3,53000,2,15,5,114,4,72000,187.0828693,0.02631578947
0,1491490120,2615,1257.5,3,35000,2,15,5,100,5,60036,200,0.03
1,1484705643,2615,1223,3,50000,2,15,5,89,3,151300,1,0.03370786517
0,1488158911,3661,1239.5,1,78000,2,11,-1,97,3,371301,200,0.01030927835
0,1488659019,3661,1250,3,60000,2,11,5,114,4,72001,707.1067812,0.02631578947
0,1486167754,2615,1289,1,173000,2,15,5,112,3,350702,200,0.008928571429
1,1485989303,2615,1289,1,35000,2,15,5,76,5,60063,1,0.01315789474
0,1484347999,2615,1304,3,390000,2,15,5,91,5,60050,1,0.03296703297
0,1488028690,3661,1323.5,1,117000,2,11,9,112,4,550001,230.2172887,0.008928571429
0,1486255310,3661,1289,1,139000,2,11,-1,114,4,450033,214.4761059,0.008771929825
0,1489550532,2092,1406,1,208000,2,8,-1,112,5,340001,223.6067977,0.008928571429
0,1491730899,2092,1278.5,3,97000,2,8,5,100,3,72015,223.6067977,0.03
0,353935,2615,1269.5,1,180000,1,15,5,90,3,151009,173.2050808,0.01111111111
0,1454692,3661,1262,3,106000,2,11,9,109,4,450002,173.2050808,0.02752293578
0,1490391960,2092,1214,3,63000,2,8,-1,85,3,330014,1,0.03529411765
1,1492359373,2092,1272.5,1,141000,2,8,5,110,3,151300,1,0.009090909091
0,2322832,3661,,2,106000,2,11,-1,90,5,60033,1,0.02222222222
0,1486376256,3661,1419.5,3,61000,2,11,5,80,5,151300,200.4594722,0.0375
0,1286629,3661,1277,3,243000,2,11,5,83,5,60087,1,0.03614457831
1,1488804451,3661,1304,1,113000,2,11,9,112,4,350078,264.5751311,0.008928571429
0,1490863501,2092,1305.5,1,118000,2,8,9,112,4,151300,223.6067977,0.008928571429
0,1193137,3661,1280,1,93000,2,11,-1,110,4,550000,181.6590212,0.009090909091
0,1486142897,2615,1187,3,102000,2,15,5,113,4,450081,197.4841766,0.02654867257
0,1490253206,2092,1331,3,341000,2,8,9,114,5,72001,345.7383404,0.02631578947
